Country Name,Country Code,Year,Life expectancy,PIB per capita,Population,Region Name
Afghanistan,AFG,2015,60.7171707317073,594.323081219966,32526562.0,Asia
Australia,AUS,2015,82.4512195121951,56290.6468086817,23789752.0,Oceania
Austria,AUT,2015,81.8439024390244,43636.753701877,8638366.0,Europe
Burundi,BDI,2015,57.10704878048779,277.068309170914,11178921.0,Africa
Belgium,BEL,2015,81.2878048780488,40454.169971736,11249420.0,Europe
Benin,BEN,2015,59.7207073170732,762.0512054419652,10879829.0,Africa
Burkina Faso,BFA,2015,58.931292682926795,589.774414136617,18105570.0,Africa
Bangladesh,BGD,2015,72.0011951219512,1211.70153057661,160995642.0,Asia
"Bahamas, The",BHS,2015,75.3968292682927,22817.2308572518,388019.0,Americas
Belize,BLZ,2015,70.1923658536585,4878.72126724745,359287.0,Americas
Bolivia,BOL,2015,68.73960975609761,3076.7918106088105,10724705.0,Americas
Brazil,BRA,2015,74.6758780487805,8677.768107079699,207847528.0,Americas
Botswana,BWA,2015,64.48741463414639,6360.138220188372,2262485.0,Africa
Central African Republic,CAF,2015,51.4191219512195,323.201674024141,4900274.0,Africa
Canada,CAN,2015,82.1376341463415,43315.7004418128,35848610.0,Americas
Switzerland,CHE,2015,83.1975609756098,80999.287418946,8281430.0,Europe
Chile,CHL,2015,81.7875609756098,13416.230039018501,17948141.0,Americas
China,CHN,2015,75.98634146341459,8069.21193773116,1371220000.0,Asia
Cote d'Ivoire,CIV,2015,51.919756097561,1398.9899576841299,22701556.0,Africa
Cameroon,CMR,2015,55.9343902439024,1217.26067048427,23344179.0,Africa
"Congo, Dem. Rep.",COD,2015,59.023902439024404,456.052740548027,77266814.0,Africa
"Congo, Rep.",COG,2015,62.867658536585395,1851.1999155549202,4620330.0,Africa
Colombia,COL,2015,74.1820243902439,6056.14771720405,48228704.0,Americas
Costa Rica,CRI,2015,79.5864634146341,11260.0921598775,4807850.0,Americas
Denmark,DNK,2015,81.1,53014.644161619406,5683483.0,Europe
Dominican Republic,DOM,2015,73.6766829268293,6468.473491543299,10528391.0,Americas
Algeria,DZA,2015,75.04253658536591,4154.1196923013795,39666519.0,Africa
Ecuador,ECU,2015,76.1029268292683,6205.0641452995105,16144363.0,Americas
Spain,ESP,2015,83.38048780487809,25684.724415549703,46443994.0,Europe
Finland,FIN,2015,81.3853658536585,42403.4674794949,5479531.0,Europe
Fiji,FJI,2015,70.25626829268289,4960.51995438419,892145.0,Oceania
France,FRA,2015,82.67073170731709,36352.4800724793,66538391.0,Europe
Gabon,GAB,2015,64.8903414634146,8266.4456050624,1725292.0,Africa
United Kingdom,GBR,2015,81.60487804878049,43929.690813102796,65128861.0,Europe
Ghana,GHA,2015,61.491731707317115,1369.7011222758501,27409893.0,Africa
Greece,GRC,2015,81.5878048780488,18006.9703345736,10820883.0,Europe
Guatemala,GTM,2015,71.9564878048781,3903.4788560461297,16342897.0,Americas
Guyana,GUY,2015,66.5075121951219,4127.35101806198,767085.0,Americas
"Hong Kong SAR, China",HKG,2015,84.2780487804878,42327.8399570345,7305700.0,Asia
Honduras,HND,2015,73.3331219512195,2528.89354988523,8075060.0,Americas
India,IND,2015,68.3485609756098,1593.25770301464,1311050527.0,Asia
Ireland,IRL,2015,81.5024390243902,61093.6910840164,4643740.0,Europe
Iraq,IRQ,2015,69.5902682926829,4943.76038832056,36423395.0,Asia
Iceland,ISL,2015,82.8609756097561,50722.0010796419,330815.0,Europe
Italy,ITA,2015,83.490243902439,29993.076048580897,60730582.0,Europe
Jamaica,JAM,2015,75.7981707317073,5105.7930119452785,2793335.0,Americas
Japan,JPN,2015,83.84365853658541,34523.7007742331,126958472.0,Asia
Kenya,KEN,2015,62.133731707317104,1376.7128289488098,46050302.0,Africa
Cambodia,KHM,2015,68.6561463414634,1158.6899035244,15577899.0,Asia
"Korea, Rep.",KOR,2015,82.1558536585366,27221.524050966094,50617045.0,Asia
Liberia,LBR,2015,61.160951219512214,455.873934536237,4503438.0,Africa
Sri Lanka,LKA,2015,74.9531951219512,3926.17439589454,20966000.0,Asia
Lesotho,LSO,2015,49.9612195121951,1066.98562625017,2135022.0,Africa
Luxembourg,LUX,2015,82.2292682926829,99717.74471651539,569604.0,Europe
